Unnamed: 0,Epoch,Accuracy_train,Accuracy_val,Exp_name
,0,0.3778228141285466,0.4874791318864774,debug_yolo_LSTM_30_naked
,1,0.5324261725535611,0.5642737896494157,debug_yolo_LSTM_30_naked
,2,0.6027793862188766,0.6243739565943238,debug_yolo_LSTM_30_naked
,3,0.6609727851766068,0.6393989983305509,debug_yolo_LSTM_30_naked
,4,0.6838448176027794,0.659432387312187,debug_yolo_LSTM_30_naked
,5,0.6951360741169659,0.662771285475793,debug_yolo_LSTM_30_naked
,6,0.7188766647365373,0.7429048414023373,debug_yolo_LSTM_30_naked
,7,0.7524609148812971,0.679465776293823,debug_yolo_LSTM_30_naked
,8,0.7472495657209033,0.7312186978297162,debug_yolo_LSTM_30_naked
,9,0.7698320787492762,0.7562604340567612,debug_yolo_LSTM_30_naked
,10,0.7782281412854661,0.7412353923205343,debug_yolo_LSTM_30_naked
,11,0.7938621887666474,0.7796327212020033,debug_yolo_LSTM_30_naked
,12,0.7773595830920672,0.7612687813021702,debug_yolo_LSTM_30_naked
,13,0.7935726693688477,0.8113522537562604,debug_yolo_LSTM_30_naked
,14,0.8028372900984366,0.7879799666110183,debug_yolo_LSTM_30_naked
,15,0.8109438332368268,0.8080133555926544,debug_yolo_LSTM_30_naked
,16,0.8213665315576144,0.8063439065108514,debug_yolo_LSTM_30_naked
,17,0.8824551244933411,0.8464106844741235,debug_yolo_LSTM_30_naked
,18,0.8951939779965258,0.8263772954924875,debug_yolo_LSTM_30_naked
,19,0.8986682107701216,0.8180300500834724,debug_yolo_LSTM_30_naked
,20,0.9085118702953098,0.8297161936560935,debug_yolo_LSTM_30_naked
,21,0.9339895773016792,0.8447412353923205,debug_yolo_LSTM_30_naked
,22,0.9464389114070644,0.8430717863105175,debug_yolo_LSTM_30_naked
,23,0.9496236247828604,0.8647746243739566,debug_yolo_LSTM_30_naked
,24,0.9470179502026635,0.8480801335559266,debug_yolo_LSTM_30_naked
,25,0.9652576722640416,0.8464106844741235,debug_yolo_LSTM_30_naked
,26,0.9603358425014475,0.8380634390651085,debug_yolo_LSTM_30_naked
,27,0.96670526925304,0.8480801335559266,debug_yolo_LSTM_30_naked
,28,0.9736537348002317,0.8497495826377296,debug_yolo_LSTM_30_naked
,29,0.9739432541980312,0.8414023372287145,debug_yolo_LSTM_30_naked
,0,0.46463848281311737,0.5743243243243243,debug_mediapipe_LSTM_30_naked
,1,0.608850256815488,0.6013513513513513,debug_mediapipe_LSTM_30_naked
,2,0.640458316870802,0.6599099099099099,debug_mediapipe_LSTM_30_naked
,3,0.6981430264717503,0.7004504504504504,debug_mediapipe_LSTM_30_naked
,4,0.6945871197155274,0.6756756756756757,debug_mediapipe_LSTM_30_naked
,5,0.7443698143026471,0.704954954954955,debug_mediapipe_LSTM_30_naked
,6,0.7625444488344528,0.740990990990991,debug_mediapipe_LSTM_30_naked
,7,0.7957329118925326,0.7612612612612613,debug_mediapipe_LSTM_30_naked
,8,0.8020545239035954,0.7905405405405406,debug_mediapipe_LSTM_30_naked
,9,0.8135124456736468,0.7477477477477478,debug_mediapipe_LSTM_30_naked
,10,0.8241801659423152,0.8243243243243243,debug_mediapipe_LSTM_30_naked
,11,0.849861714737258,0.8108108108108109,debug_mediapipe_LSTM_30_naked
,12,0.8522323192414065,0.7545045045045045,debug_mediapipe_LSTM_30_naked
,13,0.8486764124851838,0.7725225225225225,debug_mediapipe_LSTM_30_naked
,14,0.887001185302252,0.8400900900900901,debug_mediapipe_LSTM_30_naked
,15,0.9118925325958119,0.8468468468468469,debug_mediapipe_LSTM_30_naked
,16,0.9245357566179375,0.8378378378378378,debug_mediapipe_LSTM_30_naked
,17,0.919399446858949,0.8445945945945946,debug_mediapipe_LSTM_30_naked
,18,0.9344132753852232,0.8378378378378378,debug_mediapipe_LSTM_30_naked
,19,0.954563413670486,0.8513513513513513,debug_mediapipe_LSTM_30_naked
,20,0.9664164361912287,0.8626126126126126,debug_mediapipe_LSTM_30_naked
,21,0.9711576451995259,0.8693693693693694,debug_mediapipe_LSTM_30_naked
,22,0.9727380482022916,0.8581081081081081,debug_mediapipe_LSTM_30_naked
,23,0.9747135519557487,0.8536036036036037,debug_mediapipe_LSTM_30_naked
,24,0.9711576451995259,0.8355855855855856,debug_mediapipe_LSTM_30_naked
,25,0.9727380482022916,0.8603603603603603,debug_mediapipe_LSTM_30_naked
,26,0.9834057684709601,0.8648648648648649,debug_mediapipe_LSTM_30_naked
,27,0.9841959699723429,0.8671171171171171,debug_mediapipe_LSTM_30_naked
,28,0.9869616752271829,0.8648648648648649,debug_mediapipe_LSTM_30_naked
,29,0.98893717898064,0.8603603603603603,debug_mediapipe_LSTM_30_naked
